haggle   n.争论，讨价还价
hair   n.头发，毛发
haughty   adj.傲慢的
headmaster   n.(中、小学)校长
hesitation   n.犹豫，踌躇
honor   n.荣誉，名誉
hotel   n.旅馆
hypothesis   n.假设，前提
heave   v.起伏，举起，叹气
highly   adv.十分，赞许地
hose   n.软水管，长统袜
hot   adj.热的，辣的
hurt   v.使受伤，使痛，伤害
hazard   n.危险
heartily   adv.精神饱满的
hopefully   adv.可以指望
hotelling   n.旅馆业
highland   n.高地
hopeless   adj.无望的，绝望的
harness   v.支配，治理
herbal   adj.草药的
herewith   adv.与此一道
hesitant   adj.犹豫的
hire   v.租，雇佣
holy   adj.神圣的，圣洁的
homogenous   adj.同质的，同类的
horizontal   adj.水平的，横的
how   adv.如何，多么，怎样
hunter   n.猎人，搜索者
handling   n.处理，管理
heaven   n.天空，天堂
hence   adv.因此，由此
horse   n.马
hospitable   adj.好客的
hostage   n.人质
health   n.健康(状况)
heed   v.,n.注意，留心
homeless   adj.无家可归的
honesty   n.诚实，正直
however   adv.可是，然而
hypothetical   adj.假设的
handbag   n.手袋，手提包
hard-working   adj.勤劳的
herb   n.药草
hull   n.豆荚，外壳，船壳
halve   v.对分，减半
him   pron.他(宾格)
hope   v.,n.希望，愿望
hamper   v.妨碍
herd   v.放牧
holding   n.支持，控股
honest   adj.诚实的，正直的
habit   n.习惯
ham   n.火腿
hatch   v.孵化，策划
here   adv.这里，在这里
headquarters   n.司令部，总部
hip   n.臀部
hotdog   n.热狗(面包)
hardly   adv.刚刚，几乎不
heavily   adv.重，沉重的
homely   adj.家常的，简便的
humorous   adj.幽默的，诙谐的
humanity   n.人类，人性
hardness   n.坚硬，硬度
hatred   n.憎恶，敌意
headlong   ad.头向前地，卤莽地
heel   n.后跟
his   pron.他的
history   n.历史
hoarse   adj.嘶哑的，沙哑的
hard   adj.硬的
hit   v.打，碰，打击
home   n.家，故乡
horizon   n.地平线，视野
horrible   adj.可怕的，糟透的
hare   n.野兔
haul   v.拉，拖
high   adj.高的，高度的
host   n.一大群，男主人
hanger   n.衣架
hat   n.帽子
heading   n.标题
hydrogen   n.氢，氢气
heartfelt   adj.衷心的
hedge   n.树篱，套期保值
hydraulic   adj.水力的，液压的
haircut   n.理发
hero   n.英雄，男主角
hide   v.躲藏，隐瞒，掩盖
housekeeper   n.看门人，保姆
humanism   n.人道主义
hush   int.嘘
hairy   adj.毛发的，多毛的
harmless   adj.无害的，无恶意的
heavy   adj.星的，繁重的
herein   adv.在此
hideous   adj.骇人听闻的
hijacker   n.栏路抢劫者
hoist   v.升起，扯起
humanitarian   n.慈善家
humidity   n.湿度，湿气
handicap   n.障碍
hay   n.干草
hello   int.喂，你好
heroic   adj.英雄的，英勇的
hindrance   n.障碍(物)
hobby   n.嗜好，业余爱好
haste   n.急忙，急速
hasten   v.赶紧，加快
hearty   adj.衷心的，热诚的
historian   n.历史学家
hopeful   adj.有希望的
hygiene   n.卫生
harm   n.,v.损害，伤害
harmony   n.融洽，和谐
haunt   v.萦绕，作崇
heating   n.取暖，供热
heighten   v.加高，增加
heroine   n.女英雄，女主角
holiday   n.节日，假日
honeymoon   n.蜜月
hospitality   n.好客，款待
hug   v.,n.紧抱
hundred   num.一百
handsome   adj.漂亮的，得体
he   pron.他
hill   n.小山，丘陵
hold-up   n.停顿，耽误
handful   adj.一把，少量
horsepower   n.马力
hour   n.小时，点钟
hypocrisy   n.伪善
happily   adv.幸运地
harmonious   adj.和睦的，和谐的
hawk   n.鹰隼
hereby   adv.以此
humiliation   n.羞辱，耻辱
hunt   v.打猎，搜索，寻找
hate   v.恨，憎恶，不愿意
horror   n.恐惧，恐怖
hover   v.翱翔，盘旋，徘徊
humiliate   v.使受辱
handicapped   adj.有残疾的
harmful   adj.有害的
helicopter   n.直升飞机
hereto   adv.对此
hi   int.嗨，你好
hind   adj.后面的，后部的
homesick   n.思乡的
horn   n.角，触须，号角
horrify   v.使恐惧
helpful   adj.有用的
hum   v.哼，嗡嗡叫
half   n.一半
handwriting   n.手写，书法，笔迹
hedgehog   n.刺猬
