instinct   n.本能，直觉，天性
inspire   v.鼓舞，激励，受启发
inlet   n.水湾，入口
incomplete   adj.不完全的，没完成
ice-bound   adj.冰封的
inward   adj.里面的，内心的
invisible   adj.看不见的
invest   v.投资，花费
invalid   adj.伤残的，无效的
intrude   v.侵入，强加于
inference   n.推断，推论的结果
interest   n.兴趣，利息，利益
industry   n.工业，产业，勤奋
immerse   v.浸泡，埋头于
investigate   v.调查，研究
invariably   adv.不变地，总是
invader   n.入侵者
intimate   adj.亲密的，熟悉的
inherit   v.继承，遗传
infectious   adj.传染的
infect   v.感染，传染
indigestion   n.消化不良
itch   v.,n.痒，热望
internationalization   n.国际化
interfere   v.妨碍，干涉
intention   n.意图，目的
intend   v.打算
instable   adj.不稳定的
infringe   v.侵权
inducement   n.诱导，动机
indication   n.表示，迹象
idol   n.偶像，被崇拜的人
idle   adj.空闲的，懒的
irregularity   n.不规则
involved   adj.涉及的，复杂的
insert   v.插入，嵌入
injection   n.注射
indoor   adj.室内的
incapable   adj.不能的，不会的
impulse   n.冲击，冲动，脉搏
imprison   v.关押，监禁
imperialist   n.帝国主义者
i   .我
invent   v.发明，创造，编造
intense   adj.强烈的，极度的
inspect   v.检查，视察，审查
inferior   adj.低级的
infant   n.婴儿，幼儿
indignant   adj.气愤的，愤慨的
immigrant   n.移民
invoice   n.发票，装货清单
instructor   n.教员，教练
instance   n.例子
inevitable   adj.必然的，不可避免
impatient   adj.急切的，不耐烦的
illustrate   v.图解，用图说明
if   conj.如果，虽然,是否
instruction   n.指导，指示
instantly   adv.立即，立刻
inhabitant   n.居民
improve   v.改善，提高
impost   n.进口税，关税
impact   n.冲击，影响
immense   adj.巨大的，极大的
immature   adj.不成熟的
illegal   adj.不合法的，非法的
initiate   v.发动，开始，使入门
indian   adj.,n.印度人(的)
imperfect   adj.不完善的
impatience   n.不耐烦
iron   n.铁，熨斗
inspection   n.检查，视察
inside   n.里面
incidentally   adv.偶然地，另外
idiom   n.习语，成语
institute   n.(专科)学院
immoral   adj.不道德的
ill   adj.患病的，坏的
idleness   n.闲散，无所事事
isolation   n.隔离，孤立状态
investigation   n.调查
interpretation   n.解释，口译
interact   v.相互作用，相互影响
insofar   adv.在...范围内
insignificant   adj.无足轻重的
inefficient   adj.无效的
inclined   adj.倾向于...的
ignore   v.忽视，不理睬
issue   v.发行,发布
inversely   adv.相反地
interruption   n.中断，打扰
insulate   v.绝缘，隔离，使孤立
inquire   v.询问
injure   v.伤害，损害
initially   adv.最初
inhabit   v.居住，栖身
inflict   v.打击
indirectly   adj.间接地
internationalize   v.使国际化
information   n.通知，情报，资料
inclusive   adj.包括在内的
implementation   n.实行，执行
ignorant   adj.不知道的，无知的
identify   v.认出，认为...一致
intonation   n.语调，声调
intangible   adj.无形的
insult   v.,adj.侮辱
in   prep.在...内，穿戴
impartial   adj.公证的
idealize   v.使理想化
its   pron.它的
irrevocable   adj.不可撤消的
introduction   n.介绍，引言
instrumental   adj.仪器的，工具的
instructive   adj.指示的，教育的
index   n.索引，标志，指数
indebtedness   n.感激
increasingly   adv.日益，越来越
increase   v.,n.增加，增长
incorporate   v.合并，体现
ignite   v.点燃
irrigate   v.灌溉
intelligent   adj.聪明的，明智的
instant   adj.立即的，速溶的
india   n.印度
independently   adv.独立地
increment   n.增值
increasing   adj.不断增长的
inaugurate   v.举行开幕、就职典礼
inaccessible   adj.很难得到的
impurity   n.不纯，杂质
implication   n.暗示，含义
immaterial   adj.无形的，不重要的
idiot   n.傻子，白痴
international   adj.国际的
insurance   n.保险(业)，保障
inspiration   n.灵感
insider   n.知情者
infinite   adj.无限大的，无穷的
indifferent   adj.冷淡的，不在乎的
inconvenient   adj.不方便的
implied   adj.暗含的，暗示的
iceland   n.冰岛
ivory   n.象牙，象牙色
invalidate   v.使无效
interview   n.,v.会见，面谈
interpret   v.解释，当...译员
insufficient   adj.不充足的
influential   adj.有影响的
induction   n.感应，归纳
incompatibility   n.不兼容
